ROTATION,SEASON,STANDINGS,WEEK,HOMEDIV,HOMETEAM,VISDIV,VISTEAM
1,0,0,1,1,4,6,4
1,0,0,1,4,3,2,1
1,0,0,2,1,1,6,2
1,0,0,2,3,1,6,1
1,0,0,2,3,2,4,1
1,0,0,2,3,3,6,4
1,0,0,2,3,4,4,4
1,0,0,2,4,2,2,4
1,0,0,2,5,1,1,3
1,0,0,2,5,2,2,3
1,0,0,2,5,3,2,2
1,0,0,2,5,4,2,1
1,0,0,2,6,3,1,2
1,0,0,3,1,2,6,1
1,0,0,3,1,3,5,4
1,0,0,3,2,2,5,1
1,0,0,3,2,3,4,4
1,0,0,3,2,4,4,3
1,0,0,3,3,2,6,2
1,0,0,3,4,1,3,4
1,0,0,3,4,2,3,3
1,0,0,3,5,2,1,4
1,0,0,3,5,3,1,1
1,0,0,3,6,3,3,1
1,0,0,4,1,4,5,3
1,0,0,4,2,1,5,2
1,0,0,4,2,2,4,2
1,0,0,4,3,4,6,3
1,0,0,4,4,1,2,3
1,0,0,4,4,3,3,2
1,0,0,4,4,4,3,1
1,0,0,4,5,1,2,4
1,0,0,4,5,4,1,2
1,0,0,4,6,1,3,3
1,0,0,4,6,2,1,3
1,0,0,4,6,4,1,1
1,0,0,5,1,1,5,1
1,0,0,5,1,2,5,2
1,0,0,5,1,3,6,3
1,0,0,5,2,1,4,1
1,0,0,5,2,3,5,3
1,0,0,5,2,4,5,4
1,0,0,5,3,1,4,2
1,0,0,5,3,3,4,3
1,0,0,5,4,4,2,2
1,0,0,5,6,1,1,4
1,0,0,5,6,2,3,4
1,0,0,5,6,4,3,2
1,1,1,6,1,3,4,1
1,1,1,6,1,4,4,4
1,1,1,6,2,3,6,3
1,1,1,6,2,4,6,2
1,1,1,6,4,2,1,1
1,1,1,6,4,3,1,2
1,1,1,6,5,1,3,2
1,1,1,6,5,2,3,3
1,1,1,6,5,3,3,4
1,1,1,6,5,4,3,1
1,1,1,6,6,1,2,2
1,1,1,6,6,4,2,1
1,1,1,7,1,1,2,1
1,1,1,7,2,2,1,4
1,1,1,7,3,1,1,3
1,1,1,7,3,2,1,2
1,1,1,7,3,3,2,3
1,1,1,7,3,4,2,4
1,1,1,7,4,1,5,1
1,1,1,7,4,2,5,2
1,1,1,7,5,3,6,1
1,1,1,7,6,2,5,4
1,1,1,7,6,3,4,4
1,1,1,7,6,4,4,3
1,1,1,8,1,1,1,4
1,1,1,8,1,2,1,3
1,1,1,8,2,1,2,2
1,1,1,8,2,4,2,3
1,1,1,8,3,1,3,2
1,1,1,8,3,4,3,3
1,1,1,8,4,3,4,1
1,1,1,8,4,4,4,2
1,1,1,8,5,2,5,4
1,1,1,8,5,3,5,1
1,1,1,8,6,2,6,1
1,1,1,8,6,3,6,4
1,1,1,9,1,3,3,3
1,1,1,9,1,4,3,2
1,1,1,9,2,1,1,2
1,1,1,9,2,2,1,1
1,1,1,9,2,3,3,4
1,1,1,9,4,3,6,3
1,1,1,9,5,1,6,1
1,1,1,9,5,2,4,1
1,1,1,9,5,4,4,4
1,1,1,9,6,2,4,2
1,1,1,10,1,1,4,3
1,1,1,10,1,2,4,4
1,1,1,10,2,4,2,1
1,1,1,10,3,1,5,1
1,1,1,10,3,2,5,4
1,1,1,10,3,3,5,3
1,1,1,10,3,4,5,2
1,1,1,10,4,1,1,4
1,1,1,10,4,2,1,3
1,1,1,10,6,3,6,1
1,1,1,10,6,4,6,2
1,1,1,11,1,2,1,4
1,1,1,11,2,1,6,3
1,1,1,11,2,2,6,4
1,1,1,11,3,3,3,2
1,1,1,11,3,4,3,1
1,1,1,11,4,1,4,2
1,1,1,11,4,3,4,4
1,1,1,11,5,3,5,2
1,1,1,11,5,4,5,1
1,1,1,11,6,1,2,4
1,1,1,11,6,2,2,3
1,1,1,12,1,3,2,1
1,1,1,12,1,4,2,3
1,1,1,12,2,4,3,3
1,1,1,12,3,1,1,1
1,1,1,12,3,4,2,2
1,1,1,12,4,2,6,1
1,1,1,12,4,4,5,3
1,1,1,12,5,2,6,2
1,1,1,12,6,3,4,1
1,1,1,12,6,4,5,4
1,1,1,13,1,1,1,2
1,1,1,13,1,4,1,3
1,1,1,13,2,3,2,1
