LASTNAME,FIRSTNAME,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,TEAM,POSITION,POSITIONGROUP,OFFENSIVESTYLE,DEFENSIVESTYLE,PAYSCALE
Gannon,Jonathan,1,4,1983,Cleveland_OH,14092,Louisville,24,1,0,10,0,1,66
Morris,Raheem,9,3,1976,Houston_TX,18061,Hofstra,949,2,0,10,0,1,114
Harbaugh,John,9,23,1962,Perrysburg_OH,14499,Miami (OH),101,3,0,10,0,2,158
McDermott,Sean,3,21,1974,Omaha_NE,11705,William and Mary,250,4,0,10,0,3,104
Canales,Dave,5,7,1981,Harbor City_CA,1467,Azusa Pacific,264,5,0,6,2,0,128
Eberflus,Matt,5,17,1970,Toledo_OH,14647,Toledo,123,6,0,9,0,4,98
Taylor,Zac,5,10,1983,Norman_OK,14998,Nebraska,33,7,0,3,5,0,84
McCarthy,Mike,11,10,1963,Pittsburgh_PA,16249,Baker,677,8,0,3,6,0,176
Payton,Sean,12,29,1963,San Mateo_CA,1878,Eastern Illinois,160,9,0,3,3,0,164
Campbell,Dan,4,13,1976,Clifton_TX,17808,Texas A&M,53,10,0,5,3,0,90
LaFleur,Matt,11,14,1979,Mount Pleasant_MI,8707,Saginaw Valley State,369,11,0,3,2,0,94
Steichen,Shane,5,11,1985,Sacramento_CA,1848,Nevada - Las Vegas,105,12,0,3,4,0,74
Pederson,Doug,1,31,1968,Bellingham_WA,19616,Louisiana - Monroe,96,13,0,3,3,0,90
Reid,Andy,3,19,1958,Los Angeles_CA,1594,Brigham Young,75,14,0,3,4,0,194
McDaniel,Mike,3,6,1983,Greeley_CO,2187,Yale,252,15,0,6,6,0,84
O'Connell,Kevin,5,25,1985,Knoxville_TN,17373,San Diego State,113,16,0,3,2,0,78
Mayo,Jerod,2,23,1986,Hampton_VA,19081,Tennessee,51,17,0,9,0,3,64
Allen,Dennis,9,22,1972,Atlanta_GA,3023,Texas A&M,53,18,0,10,0,4,100
Daboll,Brian,4,19,1975,Welland_Ontario,30906,Rochester (NY),602,19,0,3,3,0,250
Saleh,Robert,1,31,1979,Dearborn_MI,8410,Northern Michigan,357,20,0,9,0,4,81
Pierce,Antonio,10,26,1978,Long Beach_CA,1589,Arizona,2,21,0,9,0,3,64
Sirianni,Nick,6,15,1981,Jamestown_NY,13287,Mount Union,576,22,0,6,1,0,88
Tomlin,Mike,3,15,1972,Hampton_VA,19081,William and Mary,250,23,0,10,0,2,140
Harbaugh,Jim,12,23,1963,Toledo_OH,14647,Michigan,27,24,0,3,1,0,180
Macdonald,Mike,6,26,1987,Boston_MA,7215,Georgia,14,25,0,9,0,2,77
Shanahan,Kyle,12,14,1979,Minneapolis_MN,9342,Texas,52,26,0,3,6,0,110
McVay,Sean,1,24,1986,Marietta_GA,3282,Miami (OH),101,27,0,6,4,0,90
Bowles,Todd,11,18,1963,Elizabeth_NJ,12130,Temple,119,28,0,10,0,1,146
Callahan,Brian,6,10,1984,Champaign_IL,4540,UCLA,56,29,0,3,3,0,98
Quinn,Dan,9,11,1970,Orange_NJ,12346,Salisbury,615,30,0,8,0,1,138
Stefanski,Kevin,5,8,1982,Philadelphia_PA,16242,Pennsylvania,211,31,0,3,1,0,81
Ryans,DeMeco,7,28,1984,Bessemer_AL,132,Alabama,1,32,0,9,0,4,66
Petzing,Drew,3,12,1987,Rochester_NY,13656,Middlebury,565,1,1,6,3,0,88
Robinson,Zac,9,29,1986,Littleton_CO,2229,Oklahoma State,40,2,1,3,1,0,75
Monken,Todd,2,5,1966,Wheaton_IL,5331,Knox,537,3,1,6,1,0,146
Brady,Joe,9,23,1989,Pembroke Pines_FL,2895,Penn State,43,4,1,3,6,0,75
