PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING
501,Rodgers,Aaron,20,8,740,101,322,224,12,2,1983,Chico_CA,1289,California,8,2005,1,24,0,11,19,2023,0,5000,2,316,1400,250,2100,0,0,0,0,0,0,3,153,170,160,71,140,141,185,173,129,227,172,171,159,104,119,145
502,Johnson,Josh,3,17,746,90,303,203,5,15,1986,Oakland_CA,1715,San Diego,224,2008,5,160,0,28,9,2023,0,0,1,121,17,0,0,0,0,0,0,0,0,0,85,57,48,95,100,80,34,118,91,44,102,82,79,115,122,108
504,Stafford,Matthew,27,9,742,100,332,230,2,7,1988,Tampa_FL,2957,Georgia,14,2009,1,1,0,10,15,2021,87,1600,3,2350,2267,3100,2267,3100,2267,0,0,0,0,3,131,152,180,38,134,156,119,126,149,202,141,122,170,98,116,123
506,Dalton,Andy,5,14,740,94,316,215,10,29,1987,Katy_TX,18105,Texas Christian,54,2011,2,35,0,7,13,2023,7,100,1,400,97,0,0,0,0,0,0,0,0,2,112,141,84,62,119,113,107,82,121,120,98,112,101,81,96,141
508,Taylor,Tyrod,20,2,726,100,322,215,8,3,1989,Hampton_VA,19081,Virginia Tech,60,2011,6,180,0,3,13,2024,33,0,2,200,80,600,80,0,0,0,0,0,0,1,103,109,83,173,89,104,93,118,98,82,95,113,101,145,155,157
509,Cousins,Kirk,2,18,745,97,316,211,8,19,1988,Barrington_IL,4440,Michigan State,28,2012,4,102,0,30,12,2024,45,1000,4,1250,1250,2750,1250,4500,1250,4500,1250,0,0,3,134,196,92,39,138,197,246,67,143,141,155,149,116,83,87,96
510,Keenum,Case,32,18,725,91,307,209,2,17,1988,Brownwood_TX,17739,Houston,92,2012,0,0,0,32,11,2023,9,0,1,279,50,0,0,0,0,0,0,0,0,1,93,110,64,34,98,96,95,119,103,57,81,102,87,104,98,123
511,Tannehill,Ryan,0,-1,757,90,325,221,7,27,1988,Lubbock_TX,18196,Texas A&M,53,2012,1,8,0,15,12,0,48,300,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
512,Wilson,Russell,23,3,705,102,310,205,11,29,1988,Cincinnati_OH,14086,Wisconsin,65,2012,3,75,0,25,12,2024,87,1800,1,121,0,0,0,0,0,0,0,0,0,1,112,135,131,137,112,122,143,179,109,230,114,128,131,149,156,167
514,Smith,Geno,25,7,743,92,324,218,10,10,1990,Miami_FL,2830,West Virginia,64,2013,2,39,0,20,11,2019,86,100,2,1290,1350,2500,1350,0,0,0,0,0,0,3,121,155,97,120,141,131,129,125,131,112,147,138,114,175,109,109
