SEASON,WEEK,MONTH,DAY,YEAR,HOME,VISITOR,LOCATION
0,1,8,13,2023,31,20,14065
0,2,8,20,2023,17,32,0
0,2,8,20,2023,25,16,0
0,2,8,20,2023,7,11,0
0,2,8,20,2023,10,19,0
0,2,8,20,2023,15,2,0
0,2,8,20,2023,28,23,0
0,2,8,20,2023,31,30,0
0,2,8,20,2023,1,9,0
0,2,8,20,2023,4,12,0
0,2,8,20,2023,6,29,0
0,2,8,20,2023,5,20,0
0,2,8,20,2023,8,13,0
0,2,8,20,2023,3,22,0
0,2,8,20,2023,27,24,0
0,2,8,20,2023,18,14,0
0,2,8,20,2023,21,26,0
0,3,8,27,2023,22,31,0
0,3,8,27,2023,19,5,0
0,3,8,27,2023,2,7,0
0,3,8,27,2023,10,13,0
0,3,8,27,2023,32,15,0
0,3,8,27,2023,23,4,0
0,3,8,27,2023,12,6,0
0,3,8,27,2023,20,28,0
0,3,8,27,2023,1,14,0
0,3,8,27,2023,11,17,0
0,3,8,27,2023,16,29,0
0,3,8,27,2023,26,9,0
0,3,8,27,2023,27,21,0
0,3,8,27,2023,25,8,0
0,3,8,27,2023,24,18,0
0,3,8,27,2023,30,3,0
0,4,9,3,2023,2,23,0
0,4,9,3,2023,22,12,0
0,4,9,3,2023,5,10,0
0,4,9,3,2023,29,17,0
0,4,9,3,2023,26,24,0
0,4,9,3,2023,6,4,0
0,4,9,3,2023,11,25,0
0,4,9,3,2023,14,31,0
0,4,9,3,2023,16,1,0
0,4,9,3,2023,19,20,0
0,4,9,3,2023,30,7,0
0,4,9,3,2023,13,15,0
0,4,9,3,2023,28,3,0
0,4,9,3,2023,8,21,0
0,4,9,3,2023,9,27,0
0,4,9,3,2023,32,18,0
1,5,9,10,2023,2,5,0
1,5,9,10,2023,3,32,0
1,5,9,10,2023,31,7,0
1,5,9,10,2023,12,13,0
1,5,9,10,2023,16,28,0
1,5,9,10,2023,18,29,0
1,5,9,10,2023,23,26,0
1,5,9,10,2023,30,1,0
1,5,9,10,2023,6,11,0
1,5,9,10,2023,9,21,0
1,5,9,10,2023,24,15,0
1,5,9,10,2023,17,22,0
1,5,9,10,2023,25,27,0
1,5,9,10,2023,19,8,0
1,5,9,10,2023,20,4,0
1,5,9,10,2023,14,10,0
1,6,9,17,2023,22,16,0
1,6,9,17,2023,2,11,0
1,6,9,17,2023,4,21,0
1,6,9,17,2023,7,3,0
1,6,9,17,2023,10,25,0
1,6,9,17,2023,32,12,0
1,6,9,17,2023,13,14,0
1,6,9,17,2023,28,6,0
